"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"AGM00060461","ORAN PORT, AG","2001-08-02",,"82","92","76"
"AGM00060461","ORAN PORT, AG","2001-08-03",,"78","85",
"AGM00060461","ORAN PORT, AG","2001-08-04",,"76","77","74"
"AGM00060461","ORAN PORT, AG","2001-08-05",,"77",,
"AGM00060461","ORAN PORT, AG","2001-08-06",,"77",,
"AGM00060461","ORAN PORT, AG","2001-08-07",,"76","79","73"
"AGM00060461","ORAN PORT, AG","2001-08-08",,"75","76","73"
"AGM00060461","ORAN PORT, AG","2001-08-09",,"79",,"75"
"AGM00060461","ORAN PORT, AG","2001-08-10",,"78",,"75"
"AGM00060461","ORAN PORT, AG","2001-08-12",,"77","78",
"AGM00060461","ORAN PORT, AG","2001-08-13",,"78","84",
"AGM00060461","ORAN PORT, AG","2001-08-14",,"76","79",
"AGM00060461","ORAN PORT, AG","2001-08-15",,"78",,"75"
"AGM00060461","ORAN PORT, AG","2001-08-16",,"81","88","76"
"AGM00060461","ORAN PORT, AG","2001-08-17",,"79",,"73"
"AGM00060461","ORAN PORT, AG","2001-08-18",,"76",,
"AGM00060461","ORAN PORT, AG","2001-08-20",,"78","84",
"AGM00060461","ORAN PORT, AG","2001-08-21",,"78","80","76"
"AGM00060461","ORAN PORT, AG","2001-08-22",,"76",,"74"
"AGM00060461","ORAN PORT, AG","2001-08-23",,"78","81","74"
"AGM00060461","ORAN PORT, AG","2001-08-24",,"81","91","76"
"AGM00060461","ORAN PORT, AG","2001-08-25",,"78","81",
"AGM00060461","ORAN PORT, AG","2001-08-26",,"78","79","76"
"AGM00060461","ORAN PORT, AG","2001-08-27",,"78","80","76"
"AGM00060461","ORAN PORT, AG","2001-08-28",,"79",,"78"
"AGM00060461","ORAN PORT, AG","2001-08-29",,"80","83","76"
"AGM00060461","ORAN PORT, AG","2001-08-30",,"80",,"74"
"AGM00060461","ORAN PORT, AG","2001-08-31",,"77","81",
"AGM00060461","ORAN PORT, AG","2001-09-01",,"75","78","71"
"AGM00060461","ORAN PORT, AG","2001-09-02",,"77","80","76"
"AGM00060461","ORAN PORT, AG","2001-09-03",,"77","81","74"
"AGM00060461","ORAN PORT, AG","2001-09-04",,"76","79",
"AGM00060461","ORAN PORT, AG","2001-09-05",,"76","81","73"
"AGM00060461","ORAN PORT, AG","2001-09-06",,"76","78","74"
"AGM00060461","ORAN PORT, AG","2001-09-07",,"75","80","72"
"AGM00060461","ORAN PORT, AG","2001-09-08",,"75","77","72"
"AGM00060461","ORAN PORT, AG","2001-09-09",,"76","77","74"
"AGM00060461","ORAN PORT, AG","2001-09-10",,"74","76","71"
"AGM00060461","ORAN PORT, AG","2001-09-11",,"74","77","71"
"AGM00060461","ORAN PORT, AG","2001-09-12",,"73","76","68"
"AGM00060461","ORAN PORT, AG","2001-09-13",,"73","76","68"
"AGM00060461","ORAN PORT, AG","2001-09-14",,"75","78","73"
"AGM00060461","ORAN PORT, AG","2001-09-15",,"76","77","73"
"AGM00060461","ORAN PORT, AG","2001-09-16",,"74","76","74"
"AGM00060461","ORAN PORT, AG","2001-09-17",,"74","76","72"
"AGM00060461","ORAN PORT, AG","2001-09-18",,"75","78",
"AGM00060461","ORAN PORT, AG","2001-09-19",,"71","74",
"AGM00060461","ORAN PORT, AG","2001-09-20",,"74","75","70"
"AGM00060461","ORAN PORT, AG","2001-09-21",,"74","76","73"
"AGM00060461","ORAN PORT, AG","2001-09-22",,"75",,"73"
"AGM00060461","ORAN PORT, AG","2001-09-23","0.08","75","83","68"
"AGM00060461","ORAN PORT, AG","2001-09-24","0.00","75",,"68"
"AGM00060461","ORAN PORT, AG","2001-09-25",,"71","73","69"
"AGM00060461","ORAN PORT, AG","2001-09-26",,"72","73","69"
"AGM00060461","ORAN PORT, AG","2001-09-27","0.08","72","76","71"
"AGM00060461","ORAN PORT, AG","2001-09-28","0.00","73","75","72"
"AGM00060461","ORAN PORT, AG","2001-09-29",,"72","74","69"
"AGM00060461","ORAN PORT, AG","2001-09-30",,"73","76","71"
"AGM00060461","ORAN PORT, AG","2001-10-01",,"73","77","68"
"AGM00060461","ORAN PORT, AG","2001-10-02",,"74","78","71"
"AGM00060461","ORAN PORT, AG","2001-10-05",,"76","77",
"AGM00060461","ORAN PORT, AG","2001-10-06",,"75","78","72"
"AGM00060461","ORAN PORT, AG","2001-10-07",,"75",,"72"
"AGM00060461","ORAN PORT, AG","2001-10-08",,"70","73","67"
"AGM00060461","ORAN PORT, AG","2001-10-09",,"71","74","67"
"AGM00060461","ORAN PORT, AG","2001-10-10","0.75","71",,"64"
"AGM00060461","ORAN PORT, AG","2001-10-11","0.00","81","86","75"
"AGM00060461","ORAN PORT, AG","2001-10-12","0.03","73","83",
"AGM00060461","ORAN PORT, AG","2001-10-13","0.00","70","72","68"
"AGM00060461","ORAN PORT, AG","2001-10-14",,"70","72","67"
"AGM00060461","ORAN PORT, AG","2001-10-15",,"70","71","67"
"AGM00060461","ORAN PORT, AG","2001-10-16",,"71","74","68"
"AGM00060461","ORAN PORT, AG","2001-10-17",,"73","78","70"
"AGM00060461","ORAN PORT, AG","2001-10-18",,"71","72","69"
"AGM00060461","ORAN PORT, AG","2001-10-19",,"72","80","68"
"AGM00060461","ORAN PORT, AG","2001-10-20",,"71","74",
"AGM00060461","ORAN PORT, AG","2001-10-21",,"69","76","65"
"AGM00060461","ORAN PORT, AG","2001-10-22",,"70","76","67"
"AGM00060461","ORAN PORT, AG","2001-10-23",,"70","72","68"
"AGM00060461","ORAN PORT, AG","2001-10-24",,"70","71","67"
"AGM00060461","ORAN PORT, AG","2001-10-26",,"68","71","65"
"AGM00060461","ORAN PORT, AG","2001-10-27",,"69","73","64"
"AGM00060461","ORAN PORT, AG","2001-10-28",,"72","81",
"AGM00060461","ORAN PORT, AG","2001-10-29",,"74","81","72"
"AGM00060461","ORAN PORT, AG","2001-10-30",,"75",,"68"
"AGM00060461","ORAN PORT, AG","2001-10-31",,"72","73",
"AGM00060461","ORAN PORT, AG","2001-11-01",,"70","71","69"
"AGM00060461","ORAN PORT, AG","2001-11-02",,"67","69","66"
"AGM00060461","ORAN PORT, AG","2001-11-03",,"67","68","63"
"AGM00060461","ORAN PORT, AG","2001-11-09",,"62","72",
"AGM00060461","ORAN PORT, AG","2001-11-11","1.10","54","57","49"
"AGM00060461","ORAN PORT, AG","2001-11-12","0.20","54","62",
"AGM00060461","ORAN PORT, AG","2001-11-13","0.12","62","66","60"
"AGM00060461","ORAN PORT, AG","2001-11-14","0.00","54","62",
"AGM00060461","ORAN PORT, AG","2001-11-15","0.83","54","59","46"
"AGM00060461","ORAN PORT, AG","2001-11-16","0.00","56","61",
"AGM00060461","ORAN PORT, AG","2001-11-17",,"57",,"50"
"AGM00060461","ORAN PORT, AG","2001-11-18",,"59","63","54"
"AGM00060461","ORAN PORT, AG","2001-11-19",,"60","62","57"
"AGM00060461","ORAN PORT, AG","2001-11-20",,"59",,"53"
"AGM00060461","ORAN PORT, AG","2001-11-21","0.03","58","62",
"AGM00060461","ORAN PORT, AG","2001-11-22","0.03","61","64","58"
"AGM00060461","ORAN PORT, AG","2001-11-23","0.00","64","65",
"AGM00060461","ORAN PORT, AG","2001-11-24",,"62","63",
"AGM00060461","ORAN PORT, AG","2001-11-26",,"59","62","54"
"AGM00060461","ORAN PORT, AG","2001-11-28",,"58","65","55"
"AGM00060461","ORAN PORT, AG","2001-11-30",,"56",,"49"
"AGM00060461","ORAN PORT, AG","2001-12-01",,"58","65","50"
"AGM00060461","ORAN PORT, AG","2001-12-03",,"58","62","51"
"AGM00060461","ORAN PORT, AG","2001-12-04",,"55","61","50"
"AGM00060461","ORAN PORT, AG","2001-12-05",,"56","64",
"AGM00060461","ORAN PORT, AG","2001-12-06",,"60","67","56"
"AGM00060461","ORAN PORT, AG","2001-12-07",,"58","63","53"
"AGM00060461","ORAN PORT, AG","2001-12-08",,"58","61","53"
"AGM00060461","ORAN PORT, AG","2001-12-09",,"57","61","52"
"AGM00060461","ORAN PORT, AG","2001-12-10",,"55","61","50"
"AGM00060461","ORAN PORT, AG","2001-12-11",,"56","59","51"
"AGM00060461","ORAN PORT, AG","2001-12-12",,"56","58",
"AGM00060461","ORAN PORT, AG","2001-12-13",,"57","61","52"
"AGM00060461","ORAN PORT, AG","2001-12-14",,"63","68","54"
"AGM00060461","ORAN PORT, AG","2001-12-15",,"63",,
"AGM00060461","ORAN PORT, AG","2001-12-16",,"53",,
"AGM00060461","ORAN PORT, AG","2001-12-17",,"54","59","49"
"AGM00060461","ORAN PORT, AG","2001-12-18","0.02","55","58","50"
"AGM00060461","ORAN PORT, AG","2001-12-19",,"53","56","50"
"AGM00060461","ORAN PORT, AG","2001-12-20",,"55","56","53"
"AGM00060461","ORAN PORT, AG","2001-12-21",,"53","58","34"
"AGM00060461","ORAN PORT, AG","2001-12-22",,"55","59","50"
"AGM00060461","ORAN PORT, AG","2001-12-23",,"65","73","53"
"AGM00060461","ORAN PORT, AG","2001-12-25",,"53","56",
"AGM00060461","ORAN PORT, AG","2001-12-26",,"56","63","48"
"AGM00060461","ORAN PORT, AG","2001-12-27",,"56","59","51"
"AGM00060461","ORAN PORT, AG","2001-12-28",,"54","62","47"
"AGM00060461","ORAN PORT, AG","2001-12-29",,"54","62","45"
"AGM00060461","ORAN PORT, AG","2001-12-31",,"60","70","52"
"AGM00060461","ORAN PORT, AG","2002-01-03",,"56","61","52"
"AGM00060461","ORAN PORT, AG","2002-01-04","0.04","59","63","57"
"AGM00060461","ORAN PORT, AG","2002-01-05","0.00","58","61","52"
"AGM00060461","ORAN PORT, AG","2002-01-06",,"55","59","51"
"AGM00060461","ORAN PORT, AG","2002-01-07",,"53","63","47"
"AGM00060461","ORAN PORT, AG","2002-01-08",,"56","63","49"
"AGM00060461","ORAN PORT, AG","2002-01-09",,"56","59","51"
"AGM00060461","ORAN PORT, AG","2002-01-10",,"54","60","48"
"AGM00060461","ORAN PORT, AG","2002-01-11",,"56","59","51"
"AGM00060461","ORAN PORT, AG","2002-01-12",,"56","61","51"
"AGM00060461","ORAN PORT, AG","2002-01-13",,"54","61","48"
"AGM00060461","ORAN PORT, AG","2002-01-14",,"57","61","54"
"AGM00060461","ORAN PORT, AG","2002-01-15",,"55","61",
"AGM00060461","ORAN PORT, AG","2002-01-16",,"56","58","53"
"AGM00060461","ORAN PORT, AG","2002-01-17",,"53","63","45"
"AGM00060461","ORAN PORT, AG","2002-01-18",,"54","60","47"
"AGM00060461","ORAN PORT, AG","2002-01-19",,"53","78","46"
"AGM00060461","ORAN PORT, AG","2002-01-20",,"54","62","49"
"AGM00060461","ORAN PORT, AG","2002-01-21",,"56","60","50"
"AGM00060461","ORAN PORT, AG","2002-01-22",,"63",,"52"
"AGM00060461","ORAN PORT, AG","2002-01-23",,"62","67",
"AGM00060461","ORAN PORT, AG","2002-01-24",,"64",,"62"
"AGM00060461","ORAN PORT, AG","2002-01-26",,"57","63","53"
"AGM00060461","ORAN PORT, AG","2002-01-27",,"56","64",
"AGM00060461","ORAN PORT, AG","2002-01-28",,"56","64",
"AGM00060461","ORAN PORT, AG","2002-01-29",,"54","59","47"
"AGM00060461","ORAN PORT, AG","2002-01-31",,"59","66","51"
"AGM00060461","ORAN PORT, AG","2002-02-01",,"58","66","50"
"AGM00060461","ORAN PORT, AG","2002-02-02",,"56","63","54"
"AGM00060461","ORAN PORT, AG","2002-02-03",,"55","59","49"
"AGM00060461","ORAN PORT, AG","2002-02-04",,"59","61","54"
"AGM00060461","ORAN PORT, AG","2002-02-05",,"59","65","53"
"AGM00060461","ORAN PORT, AG","2002-02-06",,"60","63",
"AGM00060461","ORAN PORT, AG","2002-02-07",,"60","62","58"
"AGM00060461","ORAN PORT, AG","2002-02-08",,"56","60","50"
"AGM00060461","ORAN PORT, AG","2002-02-09",,"55","61","49"
"AGM00060461","ORAN PORT, AG","2002-02-10",,"57","61","48"
"AGM00060461","ORAN PORT, AG","2002-02-11",,"59","68","52"
"AGM00060461","ORAN PORT, AG","2002-02-12",,"60","68","57"
"AGM00060461","ORAN PORT, AG","2002-02-13",,"58","60","54"
"AGM00060461","ORAN PORT, AG","2002-02-14",,"55","59","50"
"AGM00060461","ORAN PORT, AG","2002-02-15",,"58","59","54"
"AGM00060461","ORAN PORT, AG","2002-02-16",,"55","58","51"
"AGM00060461","ORAN PORT, AG","2002-02-17",,"58","59","54"
"AGM00060461","ORAN PORT, AG","2002-02-18",,"56","58",
"AGM00060461","ORAN PORT, AG","2002-02-19","0.08","57","59",
"AGM00060461","ORAN PORT, AG","2002-02-20","0.02","55","60","52"
"AGM00060461","ORAN PORT, AG","2002-02-21","0.00","60","63",
"AGM00060461","ORAN PORT, AG","2002-02-22",,"58","61","53"
"AGM00060461","ORAN PORT, AG","2002-02-24",,"58","63","50"
"AGM00060461","ORAN PORT, AG","2002-02-25",,"61","65",
"AGM00060461","ORAN PORT, AG","2002-02-26",,"61","69","54"
"AGM00060461","ORAN PORT, AG","2002-02-27",,"60","67","51"
"AGM00060461","ORAN PORT, AG","2002-02-28",,"60","67","51"
"AGM00060461","ORAN PORT, AG","2002-03-01",,"61","67","56"
"AGM00060461","ORAN PORT, AG","2002-03-02",,"58",,
"AGM00060461","ORAN PORT, AG","2002-03-03",,"58","60","54"
"AGM00060461","ORAN PORT, AG","2002-03-04","0.02","58","63","55"
"AGM00060461","ORAN PORT, AG","2002-03-05","0.00","58","63","54"
"AGM00060461","ORAN PORT, AG","2002-03-06","0.12","54","56",
"AGM00060461","ORAN PORT, AG","2002-03-07","0.79","53","56","49"
"AGM00060461","ORAN PORT, AG","2002-03-08","1.10","56",,
"AGM00060461","ORAN PORT, AG","2002-03-09","1.26","58","61","52"
"AGM00060461","ORAN PORT, AG","2002-03-10","0.00","61",,"54"
"AGM00060461","ORAN PORT, AG","2002-03-12",,"70",,"60"
"AGM00060461","ORAN PORT, AG","2002-03-13",,"66",,
"AGM00060461","ORAN PORT, AG","2002-03-14",,"63","69","55"
"AGM00060461","ORAN PORT, AG","2002-03-15",,"60","64","56"
"AGM00060461","ORAN PORT, AG","2002-03-16",,"58","63",
"AGM00060461","ORAN PORT, AG","2002-03-17",,"61","64","55"
"AGM00060461","ORAN PORT, AG","2002-03-18",,"66","69",
"AGM00060461","ORAN PORT, AG","2002-03-19",,"63",,"59"
"AGM00060461","ORAN PORT, AG","2002-03-20",,"61","67","55"
"AGM00060461","ORAN PORT, AG","2002-03-21",,"61","65","55"
"AGM00060461","ORAN PORT, AG","2002-03-22",,"64","67","59"
"AGM00060461","ORAN PORT, AG","2002-03-23",,"64","68","59"
"AGM00060461","ORAN PORT, AG","2002-03-24",,"60","63",
"AGM00060461","ORAN PORT, AG","2002-03-25",,"60","64","56"
"AGM00060461","ORAN PORT, AG","2002-03-26",,"61","62",
"AGM00060461","ORAN PORT, AG","2002-03-27",,"59","60","55"
"AGM00060461","ORAN PORT, AG","2002-03-28",,"62","64","59"
"AGM00060461","ORAN PORT, AG","2002-03-29","0.03","60","61","57"
"AGM00060461","ORAN PORT, AG","2002-03-30","0.00","60","63","57"
"AGM00060461","ORAN PORT, AG","2002-03-31",,"59","60","58"
"AGM00060461","ORAN PORT, AG","2002-04-01",,"60","61","58"
"AGM00060461","ORAN PORT, AG","2002-04-03","0.02","62","68",
"AGM00060461","ORAN PORT, AG","2002-04-04","0.00","59","61","56"
"AGM00060461","ORAN PORT, AG","2002-04-05","0.16","63","67","56"
"AGM00060461","ORAN PORT, AG","2002-04-06","0.00","62","72","58"
"AGM00060461","ORAN PORT, AG","2002-04-07","0.08","58","63","52"
"AGM00060461","ORAN PORT, AG","2002-04-08","0.00","61","63","59"
"AGM00060461","ORAN PORT, AG","2002-04-09",,"62",,"59"
"AGM00060461","ORAN PORT, AG","2002-04-10","0.00","60","63","59"
"AGM00060461","ORAN PORT, AG","2002-04-11","0.00","63",,
"AGM00060461","ORAN PORT, AG","2002-04-12","0.20","56","62","50"
"AGM00060461","ORAN PORT, AG","2002-04-13","0.00","63","67",
"AGM00060461","ORAN PORT, AG","2002-04-14","0.39","61","65","57"
"AGM00060461","ORAN PORT, AG","2002-04-15","0.00","60","64","54"
"AGM00060461","ORAN PORT, AG","2002-04-16",,"60",,"55"
"AGM00060461","ORAN PORT, AG","2002-04-17",,"62",,"58"
"AGM00060461","ORAN PORT, AG","2002-04-18",,"61","64","56"
"AGM00060461","ORAN PORT, AG","2002-04-19",,"61","62","58"
"AGM00060461","ORAN PORT, AG","2002-04-21",,"64","69","57"
"AGM00060461","ORAN PORT, AG","2002-04-22",,"61","63","58"
"AGM00060461","ORAN PORT, AG","2002-04-23",,"62","65","57"
"AGM00060461","ORAN PORT, AG","2002-04-24",,"65",,"60"
"AGM00060461","ORAN PORT, AG","2002-04-27",,"71","83","64"
"AGM00060461","ORAN PORT, AG","2002-04-28",,"66","71","64"
"AGM00060461","ORAN PORT, AG","2002-04-29",,"68","74",
"AGM00060461","ORAN PORT, AG","2002-04-30",,"65",,"62"
"AGM00060461","ORAN PORT, AG","2002-05-01",,"68","74","64"
"AGM00060461","ORAN PORT, AG","2002-05-03",,"64","68","63"
"AGM00060461","ORAN PORT, AG","2002-05-04",,"64","65",
"AGM00060461","ORAN PORT, AG","2002-05-05",,"63","71","55"
"AGM00060461","ORAN PORT, AG","2002-05-06","0.00","60",,
"AGM00060461","ORAN PORT, AG","2002-05-07","0.79","59",,
"AGM00060461","ORAN PORT, AG","2002-05-08","0.55","65","69","58"
"AGM00060461","ORAN PORT, AG","2002-05-09","0.00","64",,"56"
"AGM00060461","ORAN PORT, AG","2002-05-10",,"66",,"60"
"AGM00060461","ORAN PORT, AG","2002-05-11",,"65",,"62"
"AGM00060461","ORAN PORT, AG","2002-05-12",,"64",,"59"
"AGM00060461","ORAN PORT, AG","2002-05-13",,"65","68","60"
"AGM00060461","ORAN PORT, AG","2002-05-14",,"68","71","64"
"AGM00060461","ORAN PORT, AG","2002-05-15",,"66","68","65"
"AGM00060461","ORAN PORT, AG","2002-05-16",,"66","69","65"
"AGM00060461","ORAN PORT, AG","2002-05-17",,"71","79","66"
"AGM00060461","ORAN PORT, AG","2002-05-18",,"68","73","64"
"AGM00060461","ORAN PORT, AG","2002-05-19",,"65","68","60"
"AGM00060461","ORAN PORT, AG","2002-05-20",,"65","67","63"
"AGM00060461","ORAN PORT, AG","2002-05-22",,"74","80","66"
"AGM00060461","ORAN PORT, AG","2002-05-24",,"67","70","63"
"AGM00060461","ORAN PORT, AG","2002-05-25",,"73","83","63"
"AGM00060461","ORAN PORT, AG","2002-05-28",,"68","69",
"AGM00060461","ORAN PORT, AG","2002-05-29",,"68","69",
"AGM00060461","ORAN PORT, AG","2002-05-30",,"67","69","66"
"AGM00060461","ORAN PORT, AG","2002-06-01",,"71","76","68"
"AGM00060461","ORAN PORT, AG","2002-06-02",,"69","69","67"
"AGM00060461","ORAN PORT, AG","2002-06-04",,"71",,
"AGM00060461","ORAN PORT, AG","2002-06-05",,"76","79",
"AGM00060461","ORAN PORT, AG","2002-06-06",,"70","74","65"
"AGM00060461","ORAN PORT, AG","2002-06-07",,"71","75","68"
"AGM00060461","ORAN PORT, AG","2002-06-08",,"70","74",
"AGM00060461","ORAN PORT, AG","2002-06-09",,"69","73","63"
"AGM00060461","ORAN PORT, AG","2002-06-10",,"70","76","63"
"AGM00060461","ORAN PORT, AG","2002-06-11","0.09","69","72","67"
"AGM00060461","ORAN PORT, AG","2002-06-12","0.00","68","70","67"
"AGM00060461","ORAN PORT, AG","2002-06-13",,"68","69","68"
"AGM00060461","ORAN PORT, AG","2002-06-14",,"68","69","67"
"AGM00060461","ORAN PORT, AG","2002-06-15",,"68",,
"AGM00060461","ORAN PORT, AG","2002-06-16",,"68","70",
"AGM00060461","ORAN PORT, AG","2002-06-17",,"70","71",
"AGM00060461","ORAN PORT, AG","2002-06-18",,"70",,
